2025-02-24 07:42:51 status unpacked libtasn1-6:arm64 4.16.0-2ubuntu0.1
2025-02-24 07:42:52 startup packages configure
2025-02-24 07:42:52 configure libtasn1-6:arm64 4.16.0-2ubuntu0.1 <none>
2025-02-24 07:42:52 status unpacked libtasn1-6:arm64 4.16.0-2ubuntu0.1
2025-02-24 07:42:52 status half-configured libtasn1-6:arm64 4.16.0-2ubuntu0.1
2025-02-24 07:42:52 status installed libtasn1-6:arm64 4.16.0-2ubuntu0.1
2025-02-24 07:42:52 startup archives unpack
2025-02-24 07:42:53 upgrade libgnutls30:arm64 3.6.13-2ubuntu1.11 3.6.13-2ubuntu1.12
2025-02-24 07:42:53 status half-configured libgnutls30:arm64 3.6.13-2ubuntu1.11
2025-02-24 07:42:53 status unpacked libgnutls30:arm64 3.6.13-2ubuntu1.11
2025-02-24 07:42:53 status half-installed libgnutls30:arm64 3.6.13-2ubuntu1.11
2025-02-24 07:42:54 status unpacked libgnutls30:arm64 3.6.13-2ubuntu1.12
2025-02-24 07:42:54 startup packages configure
2025-02-24 07:42:54 configure libgnutls30:arm64 3.6.13-2ubuntu1.12 <none>
2025-02-24 07:42:54 status unpacked libgnutls30:arm64 3.6.13-2ubuntu1.12
2025-02-24 07:42:54 status half-configured libgnutls30:arm64 3.6.13-2ubuntu1.12
2025-02-24 07:42:54 status installed libgnutls30:arm64 3.6.13-2ubuntu1.12
2025-02-24 07:42:55 startup archives unpack
2025-02-24 07:42:55 upgrade libcups2:arm64 2.3.1-9ubuntu1.8 2.3.1-9ubuntu1.9
2025-02-24 07:42:55 status half-configured libcups2:arm64 2.3.1-9ubuntu1.8
2025-02-24 07:42:55 status unpacked libcups2:arm64 2.3.1-9ubuntu1.8
2025-02-24 07:42:55 status half-installed libcups2:arm64 2.3.1-9ubuntu1.8
2025-02-24 07:42:56 status unpacked libcups2:arm64 2.3.1-9ubuntu1.9
2025-02-24 07:42:57 upgrade libwbclient0:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:42:57 status half-configured libwbclient0:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
